asin,name,overall_rating,review_count,summary,merchant
B07YSHDZY1,Dettol-Liquid-Refill-Original-1500,2.4,20," First i thought its a Great value in such low price,but after using it i realised it a fake one guys . Better to give some more money and buy the real product . Original Product with good packaging, longer expiry date and less price .",Dettol
B0818ZYVH1,Patanjali-Kanti-Natural-Cleanser-Shampoo,4.3,20," The shampoo do has natural ingredients like Amla, Hibiscus etc. it is affordable too . However, it is HIGHLY INEFFECTIVE in controlling hairfall or dandruff . Also, you need to use more amount of shampoo for excessively oily or dirty hair .",Patanjali
B08211QQZT,Streax-Shampoo-Colour-Natural-Black-25-ml-Pack,3,20," Given only 1 packet whereas  thy have put 8 packets in menu Cheap very cheap Instant , valuable time saving Useful Good Nice Showing pack of 8 but received only 1 no Good nice colour .",Streax
B08216SF8Q,Streax-Soft-Hair-Colour-Natural-Black-170,3.4,20, The soft gel composition allow colour to spread easily . It is mild & gentle on the hair . Insufficient quantity of developer..... Neither do they replace it nor do they take any action .,Streax
B08299R26L,Reflex-Activity-Tracker-Monitor-SWD90066PP01,3.6,20, Good condition although the plastic box was cracked . The display is horizontal and perpendicular to the hand which is difficult to view . Charging unit is not received to me in the package.? How could I charge the band?,Reflex
B08299TLN2,Reflex-Activity-Tracker-Monitor-SWD90066PP02,2.3,20," The band and app get updated everyday for bug fixes, but the update never completes . The sleep tracker doesn't work properly - no auto sensor, it depends on manual time feeding for sleep, plus sleep data changes of band firmware update causes sudden change in connection . Call notification does not work .",Reflex
B082FL9GB6,Mamaearth-Face-Wash-100-ml,3.6,20, It contains tea tree which is one of my favourite ingredients for skin care . Gives results on acne prone face in 7-8 days . Cleanses face very well and quantity required is also less .,Mamaearth
B082KY37BL,Amul-Fresh-Paneer-200g,3.5,20, Home made paneer during quarantine is an expensive affair as milk prices are exorbitant . Came hygienically packed in a vacuum bag and has a 45day validity . Soft enough and decent portion size .,Amul
B082NWX7JC,Mamaearth-Natural-Turmeric-Saffron-brightning,3.4,20, This one says it's a skin-lighting face wash which I felt so disappointed about at first but then I realised it makes your skin lighter by removing tan from your face . I am really very impressed with the effects. It leaves my skin squeaky clean and makes it brighter. It is definitely not worth the money .,Mamaearth
B082VWY78W,Streax-Shampoo-Enriched-Extracts-Long-Lasting,3.44,18, Super product is all full of chamical Very noyce product for people who dont have anyone to dye theor hair...  Worth buying.. nocely packet... Happy to buy for my parents..  for women shoukder length hair 2 sachets is req..  got exipy pf 2022... Goid quality mixed with perfect and fast service of amazon .,Streax
B0832PGNNH,Amul-Cheese-Slices-200g-Pack,4.6,20, Good for quick breakfast with bread with bread . Nice flavor and melts easily . Perfect slices for making pizza . Okay product. Nothing special. Normal . Amul all the way .,Amul
B083F5KJS6,Dettol-Original-Protection-Bathing-125gm,3,20," Dettol soap's are very nice and it contains antibacterial properties and antiseptic properties which kills bacteria . When we take bath with ""Dettol""soap's our skin feels refreshed . It is especially made for kiling bacteria present on our skin . The quality of the product is very good .",Dettol
B083X1NMTM,Society-Tea-Daily-Masala-Premix,3,10, Average waste product Super stuff Super stuff Useless Too good Average Waste Product Super Stuff Useless Useless Super Stuff Super rubbish Super rubbish . Super waste product Useless too good .,Society
B083X1P1M7,Society-Daily-Elachi-Premix-Pouch,2.67,12," The flavour and aroma are amazing but simply mixing water gives a very thin consistency . I mix a spoon of milk powder to get the thickness of milk so that it feels like real tea . It's cheaper, even for a wholesale pack, compared to other companies .",Society
B085PYYDD6,Coca-Cola-300ml-Pack-6,4.1,20," An extra-ordinary experience in terms of service, quality, affordability & accessibility to products of great value . Out of 6 cans, 5 were puffed and one was sealed but EMPTY can .",Coca
B086T4WGRY,Savlon-After-Shave-Lotion-1000,4.2,20, Savlon liquid is a must for home. It is far better than so called Dettol as savlon has CHG and cetrimide . It has better efficacy against germs but the advertisement by HUL have made people sick so they buy dettol .,Savlon
B086VPB9WT,Dettol-Disinfectant-Multi-Use-Hygiene-Liquid,3.9,20, Dettol is always the best...this new disinfectant cleanser is good for cleaning household things... I divide the bottle in three parts & add water in it to make 3 liters .,Dettol
B089638Q8J,Tata-Tea-Gold-1kg,4.4,20, TATA Tea Gold is not meant for people who like very strong color seekers . Mixing of whole leaf resulted into enhanced flavor & color of the prepared Tea .,Tata
B089W938BR,Mamaearth-Face-Wash-100-ml,3.6,20, It contains tea tree which is one of my favourite ingredients for skin care . Gives results on acne prone face in 7-8 days . Cleanses face very well and quantity required is also less .,Mamaearth
B089ZDNWW8,Godrej-aer-Pocket-Bathroom-Fragrance,3.5,20, The fragrance is very strong the first couple of days and rest of the times it is just a light hint of the scent . The violet fragrance (purple) lasts for 25 days with this .,Godrej
B08CHMZD9K,Tata-Tea-Gold-Leaf-Pouch,3.6,20, The taste is good and one will enjoy. The name GOLD is only superlative. Actual taste is just above average . Tata Tea Gold fails in giving rich brown colour to tea .,Tata
B08CN7SJBX,Maaza-1-2L,3.5,20, Original and nice Best Mango Based Cool drink available in the market . Price is same as offline stores. Good When the product arrive it was kind of dirty. The taste is horrible Good .,Maaza
B08DLL7C2D,Godrej-ViroShield-Disinfecting-VIROSHIELD-30UV,3,20, Box seems good and alarm is set after 15 minutes and not 6 minutes as written in the discription . There is no indicator . How do we know that all four lights are working properly?,Godrej
B08GLVHLPW,Britannia-50-50-Biscuits-Pouch-80g,4.4,20, Always been our favourite accompaniment with our evening tea . Teasty makes a good tea time snack . Great taste of 50:50 rocks Good Nice All were broken .,Britannia
B08GWV3SM6,Amul-Butter-Pasteurised-100g-Pack,4.1,20, Amul butter has been my favourite since childhood and not a single breakfast or sandwich or cooked/baked dish has gone without . Amul supports anti-national channels so I am discontinuing use of  Amul .,Amul
B08HKJWHWS,Patanjali-Ayurved-Ltd-CORO-NIL-Tablet,2,2, Why these products so costly and . secondly delivery charges too high and how to take them not mentioned clearly very confusing . Why these . products so . costly and secondly delivery . charges too . high . How to take these products not mentioned is very confusing. How to . take these not mentioned not mentioned .,Patanjali
